user_id	text	label	text_qwenid
593	大夫你千万要把孩子保住。	5	4
593	气息不足，吹火都熄灭了。	4	34278
593	肺活量差，吹灰尘都无力。	4	34280
593	呼吸不给力，吹树叶都飘不动。	4	34281
593	小明看到路边有养蜂人在摆摊，便上前问：	0	8
1328	那个在纽约时代广场播放的广告，A21竟然是Always21的缩写，这让人怎么看待这个品牌呢？	4	18232
1328	真是够了，纽约时代广场的那个广告，A21居然是Always21的缩写，让人感觉有点低俗。	4	18233
1328	我觉得纽约时代广场的那个广告很让人反感，A21作为Always21的缩写，给人一种不负责任的感觉。	4	18234
1328	难道不知道中国男人的法定婚龄是22吗？	2	12
593	我男朋友又在本周末去上课，没法陪我，真是让人不舒服。	4	19978
593	周末男朋友又去上课，没空陪我，真是让人烦透了。	4	19980
593	唉，真是令人惋惜！	3	24806
593	这么多细节，真是让人疲惫不堪。	4	27150
1328	让我惊讶的是，童小宝正在吃我的手！	6	27483
1328	童小宝在我毫无防备的情况下咬了我的手！	6	27487
1328	童小宝在我毫无察觉的时候竟然咬了我的手！	6	27481
1328	在他住院期间许多亲朋好友前去探望，鲜花和礼品送上、随意慰问几句后便匆忙离去，临走前大家总不忘多加一句关怀：	4	26
1382	zulily的订单被取消了。	3	27715
1382	zulily的交易未能成功。	3	27716
1203	淘宝无线双11扫脸送现金红包！	6	31
593	她竟然这么容易受到影响？	6	28508
593	她的敏感程度令人惊讶吗？	6	28511
593	她的敏锐度让人惊讶吗？	6	28513
593	她的情感如此细腻，真让人惊讶。	6	28516
593	她的情绪为何如此容易波动？	6	28509
593	你们对我来说就如同阳光和空气，不可或缺，让我倍感温馨。	1	28564
2846	要去学校办事，想到炎炎夏日，担心晒伤皮肤，变成黑色干尸。	5	28635
2846	要去学校盖章，顾虑太阳太大，晒得人汗流浃背，最后变成黑色干尸。	5	28657
2846	想到外面办理事务，忧虑阳光强烈，害怕晒得皮肤刺痛，最后浑身漆黑。	5	28614
2846	要去学校盖章，顾虑阳光太大，晒得人痛苦不堪。	5	28616
2846	出门办事，害怕阳光炽烈，会不会晒得皮肤疼？	5	28617
2846	夏日出门，担心晒伤皮肤，最后变成一具焦黑的尸体。	5	28618
2846	要去学校处理事情，太阳太大，会不会晒得人汗流浃背？	5	28619
2846	夏日出门办事，顾虑阳光毒辣，晒得人痛苦不堪。	5	28620
2846	出门办事，担心阳光太猛，最后变成一具黑黝黝的干尸。	5	28622
2846	夏日出门，顾虑太阳猛烈，会不会晒得人皮肤疼？	5	28623
2846	回学校盖章时，太阳会不会让人烤干？	5	28626
2846	盖章那天，会不会被太阳晒的难受？	5	28629
2846	到学校盖章，太阳会不会晒到发昏？	5	28630
2846	学校盖章，那天会不会特别热？	5	28632
2846	盖章那天，太阳会不会特别毒？	5	28634
2846	学校盖章，天气会不会热得让人受不了？	5	28636
2846	盖章那天，阳光会不会让人难以忍受？	5	28638
2846	学校盖章，会不会遇到强烈的阳光？	5	28639
2846	学校盖章，会不会晒得满头大汗？	5	28645
2846	盖章那天，太阳会不会让人头晕？	5	28648
2846	学校盖章，阳光会不会让人觉得烫？	5	28649
2846	去学校盖章，会不会晒得很累？	5	28650
2846	盖章时，太阳会不会晒得人喘不过气？	5	28651
2846	去学校盖章，天气会不会让人中暑？	5	28653
2846	盖章那天，会不会被太阳晒得想躲起来？	5	28654
2846	到学校盖章，阳光会不会让人晒得发狂？	5	28656
2846	盖章那天，会不会太阳太毒了？	5	28658
2846	学校盖章，会不会被阳光照得很累？	5	28659
