user_id	text	label
593	大夫你千万要把孩子保住。	5
593	气息不足，吹火都熄灭了。	4
593	肺活量差，吹灰尘都无力。	4
593	呼吸不给力，吹树叶都飘不动。	4
593	小明看到路边有养蜂人在摆摊，便上前问：	0
1328	那个在纽约时代广场播放的广告，A21竟然是Always21的缩写，这让人怎么看待这个品牌呢？	4
1328	真是够了，纽约时代广场的那个广告，A21居然是Always21的缩写，让人感觉有点低俗。	4
1328	我觉得纽约时代广场的那个广告很让人反感，A21作为Always21的缩写，给人一种不负责任的感觉。	4
1328	难道不知道中国男人的法定婚龄是22吗？	2
593	我男朋友又在本周末去上课，没法陪我，真是让人不舒服。	4
593	周末男朋友又去上课，没空陪我，真是让人烦透了。	4
593	唉，真是令人惋惜！	3
593	这么多细节，真是让人疲惫不堪。	4
1328	让我惊讶的是，童小宝正在吃我的手！	6
1328	童小宝在我毫无防备的情况下咬了我的手！	6
1328	童小宝在我毫无察觉的时候竟然咬了我的手！	6
1328	在他住院期间许多亲朋好友前去探望，鲜花和礼品送上、随意慰问几句后便匆忙离去，临走前大家总不忘多加一句关怀：	4
1382	zulily的订单被取消了。	3
1382	zulily的交易未能成功。	3
1203	淘宝无线双11扫脸送现金红包！	6
593	她竟然这么容易受到影响？	6
593	她的敏感程度令人惊讶吗？	6
593	她的敏锐度让人惊讶吗？	6
593	她的情感如此细腻，真让人惊讶。	6
593	她的情绪为何如此容易波动？	6
593	你们对我来说就如同阳光和空气，不可或缺，让我倍感温馨。	1
2846	要去学校办事，想到炎炎夏日，担心晒伤皮肤，变成黑色干尸。	5
2846	要去学校盖章，顾虑太阳太大，晒得人汗流浃背，最后变成黑色干尸。	5
2846	想到外面办理事务，忧虑阳光强烈，害怕晒得皮肤刺痛，最后浑身漆黑。	5
2846	要去学校盖章，顾虑阳光太大，晒得人痛苦不堪。	5
2846	出门办事，害怕阳光炽烈，会不会晒得皮肤疼？	5
2846	夏日出门，担心晒伤皮肤，最后变成一具焦黑的尸体。	5
2846	要去学校处理事情，太阳太大，会不会晒得人汗流浃背？	5
2846	夏日出门办事，顾虑阳光毒辣，晒得人痛苦不堪。	5
2846	出门办事，担心阳光太猛，最后变成一具黑黝黝的干尸。	5
2846	夏日出门，顾虑太阳猛烈，会不会晒得人皮肤疼？	5
2846	回学校盖章时，太阳会不会让人烤干？	5
2846	盖章那天，会不会被太阳晒的难受？	5
2846	到学校盖章，太阳会不会晒到发昏？	5
2846	学校盖章，那天会不会特别热？	5
2846	盖章那天，太阳会不会特别毒？	5
2846	学校盖章，天气会不会热得让人受不了？	5
2846	盖章那天，阳光会不会让人难以忍受？	5
2846	学校盖章，会不会遇到强烈的阳光？	5
2846	学校盖章，会不会晒得满头大汗？	5
2846	盖章那天，太阳会不会让人头晕？	5
2846	学校盖章，阳光会不会让人觉得烫？	5
2846	去学校盖章，会不会晒得很累？	5
2846	盖章时，太阳会不会晒得人喘不过气？	5
2846	去学校盖章，天气会不会让人中暑？	5
2846	盖章那天，会不会被太阳晒得想躲起来？	5
2846	到学校盖章，阳光会不会让人晒得发狂？	5
2846	盖章那天，会不会太阳太毒了？	5
2846	学校盖章，会不会被阳光照得很累？	5
2846	去学校盖章，阳光会不会让人浑身无力？	5
2846	盖章那天，阳光会不会让人很不适？	5
2846	到学校盖章，太阳会不会让人眼睛睁不开？	5
2846	学校盖章，会不会因为太热而不舒服？	5
2846	学校盖章，天气会不会让人晕倒？	5
2846	去学校盖章，会不会因为阳光太强而难受？	5
2846	学校盖章，太阳会不会让人觉得疲惫？	5
2846	到学校盖章，阳光会不会让人头疼？	5
2846	盖章那天，会不会太阳太烈了？	5
2846	学校盖章，会不会被晒得有点晕？	5
2846	去学校盖章，会不会太阳太猛？	5
2846	到学校盖章，太阳会不会让人头昏脑胀？	5
2846	盖章那天，阳光会不会让人不舒服？	5
2846	学校盖章，会不会被晒得很辛苦？	5
2846	去学校盖章，太阳会不会让人很困？	5
2846	盖章时，阳光会不会让人觉得烦躁？	5
2846	这绝对是悲剧！！！！！	3
593	呸，真是让人反感。	4
593	真是的，能不能离我远一点？	4
593	好厉害！	6
593	亲热中，小明突然停下了动作。	0
593	傻瓜，你真是福气满满却不知珍惜啊！	2
593	哎呀，你这个傻瓜，福气就在眼前，却不知道感恩！	2
1328	看你这副模样，关键时刻竟然还在沉迷于低俗娱乐。	4
1328	真是失望，这么紧张的决赛，你竟然还能分心去看那些无聊的东西。	4
1328	真没想到，你在决赛关键时刻竟然会做出这样让人恶心的事情。	4
593	你听说过吗？香蕉和苹果这类水果有通便的功能，要不然试试看？	4
593	哎呀，香蕉和苹果这些水果可是有助于排便的，你吃了吗？	4
593	记得我上次跟你提过香蕉和苹果等水果可以缓解便秘，你现在试试看吧。	4
593	你这个人真是的，搞得哪里都是，看着就烦。	4
593	你看，这地方都被你搞得脏兮兮的，真是让人恶心。	4
1328	真是没想到，你们竟然能把孩子教育得如此优秀！	6
1328	好奇怪啊，你们是怎么让孩子变得这么优秀的？	6
1328	听说你们教育孩子很有一套，真是太厉害了！	6
593	做坏事木有小jj.	4
2846	每年都有你！	1
2846	苦逼的六块肌肉酸痛，下个楼都要一瘸一拐。	3
1117	现在一般的工薪阶层手里一本都有一两套房子。	0
1117	我不舒服，感觉整个脑袋都沉甸甸的。	2
1117	我今天状态不佳，头晕眼花。	2
593	我总是藏在内心深处，不愿让别人看到我的脆弱。	3
593	我只有一根烟了，却还要撑过这漫漫长夜；	3
2846	姐姐曾经给侄女起名	4
2846	姐姐给外甥女起名	4
2846	当姐姐提出给侄女取名	4
2846	姐姐当年想给外甥女取名	4
2846	，我提醒她这名字不好，她会怨你的，太繁琐了！	4
2846	姐姐给侄女起名	4
2503	你能不能有点记性看…	2
2503	又是这种情况！	2
2503	又来了！	2
2503	怎么又这样！	2
2503	怎么会这样！	2
2503	这是什么情况！	2
2503	怎么回事啊？	2
2503	怎么会出这种事儿！	2
2503	我不舒服，有点想吐。	4
2503	今天早上吃的早餐让我觉得很不舒服。	4
2503	我突然觉得胃里翻江倒海，很难受。	4
2503	边走湿透的裤子里面 水直往鞋子里流！	2
2503	踩在水坑里，裤子鞋子都湿透了，难受死了！	2
2503	雨天出门，不小心踩到水洼，结果裤子鞋子里都进了水！	2
2503	在外面走路，裤子鞋子都湿透了，真是倒霉！	2
2503	我发现购物成瘾真的不好，以后要控制一下自己的购买欲。	4
2503	这样的阴雨天气真是让人心情压抑，什么时候才能结束呢？	4
1117	一个人走在漆黑的大雪的回家的路上。	3
2503	六天前倾盆大雨送我出，今天回又是雨天！	3
2503	11栋的人能不能不要在炒菜时发出那么大的声音？	2
2503	这都什么时候了还炒来炒去……	4
2503	感觉太棒了！	1
2503	(住嘴)一点都不累！	2
2503	久违的灿烂阳光啊！！	1
2503	手机里所有保存的信息都丢失了！	3
2503	还是莫名其妙的消失！	2
2503	居然就这么突然消失了！	2
2503	真是不知所措的消失事件！	2
2503	那么多数据，说没就没了，真是让人想不通啊！	2
2503	阴雨天摘水果的糟糕经历…	4
2503	糟糕天气下的果园冒险…	4
2503	真相是我内心深感焦虑。	5
2503	我不敢大意，因为心里紧张得很。	5
2503	我的心扑通扑通地跳，真的很紧张。	5
2503	真的，我心里慌得厉害。	5
2503	我的心绪不宁，忐忑不安。	5
2503	这次我真的很怕会出丑。	5
2503	面对这种局面，我心情紧张极了。	5
2503	我不敢掉以轻心，担忧每一个细节。	5
2503	每当想到关键时刻，我的心就紧张起来。	5
2503	这件事让我如履薄冰，紧张得很。	5
2503	我的心神不宁，总是担心这担心那。	5
2503	面对如此严峻的挑战，我怎能不紧张？	5
2503	我的心慌得无法平静，总是胡思乱想。	5
2503	这件事让我如临深渊，紧张得要命。	5
2503	面对未知的挑战，我顾虑重重。	5
2503	我不敢贸然行动，担忧一切未知的事物。	5
2503	每当夜深人静时，我总是为未来担忧。	5
2503	这件事让我忧心忡忡，无法释怀。	5
2503	这件事让我如临深渊，紧张得要命。	5
2503	我不确定自己能否胜任这份工作，真的很紧张。	5
2503	我的心就像一片落叶，随风	5
2503	曾经年少暗恋的对象要结婚了，刚刚夜宵散场！	3
2503	剪个头发也要排队……	4
2503	国际会展中心啊等着我啊哥要亲临啦！	1
2503	刚咬上一口早餐饼就听到这经典地对话：	0
2503	冠希哥要来星城…	1
2503	官大一级压死人啊起床吧！	2
