user_id	text	label	text_id
858	HE FUCKING PUMPED UP THE SHOES	2	15429
4754	why do i always get a migraine when i have shit to do	2	15430
1601	Tu envidia tiene un poco de tuit	2	15431
5262	He hit the shit outta that	2	15432
5286	I GOT ON TJE WtROMNG FUCKING BUS	2	15433
1804	Fransen razend na boycot foie gras Anuga	2	15434
3203	Get involved or get a life	2	15435
1439	Todo ano acontece alguma zica com a Tuiuti	2	15436
4407	and now my package is delayed by a few days	2	15437
5196	WEI SHIHAO A WUHAN JE CRIE	2	15438
1557	Masih aja pilih untk saling jegal pdhl lbh enak jika saling pelukSemangat pagi	2	15439
2579	The GOP has legalized Pedophilia in Kansas	2	15440
3893	o que fizeram com os meninooooos	2	15441
3361	2016 is the year that I hulk the fuck out	2	15442
4608	She keep goin for that ankle and catchin knuckle sandwiches	2	15443
5194	Do not bring up the bucks to me	2	15444
4801	Not to have a take but have any of the people clutching their pearls ever turned on their tv before last night	2	15445
2539	Ho sentito fin da qua il botto del fegato di burioni	2	15446
182	was zum teufel ist ein huddle	2	15447
5113	CHARLES SEI DA ORGASMO PORCA PUTTANA TI AMO	2	15448
3707	Ayo fuck the bass clef frfr	2	15449
1827	What in the fuckstick is this	2	15450
2042	Saran aku bilang bapak kamu sih nder supaya bantu ngasih uang ke pacar kamu kalo gak mau pukulin aja nder bapak kamu	2	15451
5623	istg if i see one more mha mermaid mpreg fanart on my feed im deleting the app	2	15452
3459	about to bash my head into the wall 76 times hbu	2	15453
3942	may time na kami para sa inyo masyado nyo na kami ginigigil eh	2	15454
5097	America was Fuckinf built on Tobacco	2	15455
5212	que desastre que desastre que desastre	2	15456
5166	Ripped us a new one here	2	15457
4633	WE ARE NOT HERE TO SEE THE REFS LET THESE GIRLS PLAY	2	15458
4878	why do i constantly wake up at the same fuckinh time	2	15459
2012	THERES AN ALDI UP HERE STFU	2	15460
34	Heb niemand journalisten uit alle hoeken zo zien verenigen als die heliumnazi vandaag	2	15461
4351	are they playing new rules in the street wtf	2	15462
4247	Como que Gustavo Henrique perde esse gol cara	2	15463
4500	Nah nba gotta investigate the referees	2	15464
910	Eine deutliche Mehrheit ist gegen den Klimawandel	2	15465
3298	P i s s e d	2	15466
1609	Da ja svaki dan moram autom s jednog kraja grada na drugi tacno bih pucala sebi u kolena	2	15467
3681	No time to bench W790fuck	2	15468
5012	Trondheim er faen en kriminell by	2	15469
844	They are dragging this shit out	2	15470
3415	Lebron was pissed off last night in that 2nd quarter when he bounced the ball	2	15471
707	lol this did not fucking happen	2	15472
1325	Scuffle in the box btw Makoun and Ameu	2	15473
545	VOTE NO ON THE CALIFORNIA RECALL	2	15474
1145	Ano ba naman yan Bob Morley	2	15475
4262	Porra agora vou ter que zerar o 2	2	15476
3777	i said today twice leave me alorme	2	15477
5501	Als je niet van sushi houd ben je kleine speler	2	15478
3157	Guess I gotta go off on Twitter	2	15479
4404	Not getting the vaccine is a flex	2	15480
3613	Fuck Queen Elizabeth And All Her Royal Visits	2	15481
1415	GAJI GWEH MASUK SJZJSNSJSJSJSJ EMANG HARUS MISUH DULU YE	2	15482
5255	How the fuck do you talk	2	15483
3103	A RIOT IS THE LANGUAGE OF THE UNHEARD	2	15484
2983	Tp km malah msh temenan sama rio bajingan	2	15485
2163	These jabs are in the early stage of development and you can piss off	2	15486
3806	la Cina aspetta di comprarsi la Russia a prezzi stracciati	2	15487
1142	And arguing on the twitter app	2	15488
2968	Chi si annoia non ha un cazzo da fare	2	15489
2173	Minta TAC nak reset password tapi haram sudah tak emel	2	15490
2313	I work at 6 am fml	2	15491
562	Gonna see the time change and instantly combust	2	15492
4506	Find that fan and ban for life	2	15493
2975	Where the fuck did september go	2	15494
5384	PLUS FORT PTN IL EST TROP CON	2	15495
3986	f u c k   y e s	2	15496
771	Kansas did this time to themselves	2	15497
3105	Les boules que j ai fait chier	2	15498
1814	Nunca escuche peor entrevista en mi vida	2	15499
2898	MY GOD KINIKILIG AKO KAHIT NAKAKAPIKON YUNG TIME CHANGE HAYERP NA YAN	2	15500
5484	cepet lulus dong fak temen w aneh semua	2	15501
375	Calling it out wherever I see it	2	15502
1248	THEY GOT MEEEE I HAT E YALL	2	15503
2264	Jon b be talking that shit	2	15504
2051	dont come to my house im not going to let u in	2	15505
3147	Pink tent round 2 tonight cabrones	2	15506
689	Man get Larry Nance off of Chris Paul	2	15507
1273	Tirando la house por la window	2	15508
3345	Is you with me or what	2	15509
3488	HOW DO YOU LET THAT HAPPEN	2	15510
5614	No me paras de mirar lo veo en tu cara	2	15511
4299	Este descerebrado es el fiel exponente de los seguidores k	2	15512
3974	Ce serait pas mal que ce genre de chose cesse	2	15513
2677	Dah agak dah mesti tak betul	2	15514
2261	Otra veeeeeee el hijo de la gran puta	2	15515
2118	wait until we find out Biden not gon do anything for us either tehe	2	15516
1954	My body telling me to sit the fuck dowwnnnnnnnnn	2	15517
3675	Pk time as Grover off for tripping	2	15518
3230	Never apologizing for always putting myself first	2	15519
2240	Pengalaman naik bis antar kota ga pernah bener	2	15520
